visit_date,visitors
2016-01-01,1033
2016-01-02,1764
2016-01-03,2368
2016-01-04,3326
2016-01-05,3927
2016-01-06,4154
2016-01-07,4431
2016-01-08,6115
2016-01-09,7306
2016-01-10,6066
2016-01-11,4469
2016-01-12,3981
2016-01-13,4848
2016-01-14,5269
2016-01-15,6817
2016-01-16,7552
2016-01-17,4746
2016-01-18,3274
2016-01-19,4412
2016-01-20,4803
2016-01-21,5402
2016-01-22,6830
2016-01-23,7312
2016-01-24,4749
2016-01-25,3847
2016-01-26,4781
2016-01-27,5329
2016-01-28,5303
2016-01-29,6141
2016-01-30,7562
2016-01-31,5007
2016-02-01,3669
2016-02-02,4456
2016-02-03,4687
2016-02-04,5033
2016-02-05,6599
2016-02-06,7745
2016-02-07,4962
2016-02-08,3834
2016-02-09,4919
2016-02-10,6408
2016-02-11,6173
2016-02-12,6338
2016-02-13,7520
2016-02-14,4706
2016-02-15,3961
2016-02-16,4593
2016-02-17,5249
2016-02-18,5298
2016-02-19,6828
2016-02-20,6815
2016-02-21,5099
2016-02-22,3889
2016-02-23,4882
2016-02-24,4934
2016-02-25,5621
2016-02-26,7395
2016-02-27,8435
2016-02-28,5776
2016-02-29,4110
2016-03-01,4616
2016-03-02,5289
2016-03-03,5227
2016-03-04,6934
2016-03-05,8048
2016-03-06,5179
2016-03-07,3787
2016-03-08,5136
2016-03-09,4858
2016-03-10,5479
2016-03-11,7156
2016-03-12,8185
2016-03-13,5371
2016-03-14,4170
2016-03-15,5402
2016-03-16,5785
2016-03-17,6090
2016-03-18,7836
2016-03-19,8002
2016-03-20,7146
2016-03-21,5015
2016-03-22,5452
2016-03-23,5735
2016-03-24,5793
2016-03-25,8488
2016-03-26,8742
2016-03-27,5938
2016-03-28,5349
2016-03-29,6517
2016-03-30,6271
2016-03-31,6296
2016-04-01,7342
2016-04-02,7582
2016-04-03,4994
2016-04-04,4275
2016-04-05,5270
2016-04-06,5524
2016-04-07,4950
2016-04-08,7610
2016-04-09,8249
2016-04-10,5607
2016-04-11,4153
2016-04-12,4884
2016-04-13,5211
2016-04-14,5429
2016-04-15,7495
2016-04-16,8656
2016-04-17,5253
2016-04-18,4011
2016-04-19,5181
2016-04-20,5706
2016-04-21,5337
2016-04-22,7714
2016-04-23,8326
2016-04-24,5378
2016-04-25,4393
2016-04-26,5722
2016-04-27,5685
2016-04-28,6939
2016-04-29,7829
2016-04-30,7567
2016-05-01,6208
2016-05-02,5687
2016-05-03,6994
2016-05-04,6818
2016-05-05,5859
2016-05-06,5167
2016-05-07,7044
2016-05-08,5496
2016-05-09,3478
2016-05-10,4208
2016-05-11,4897
2016-05-12,5544
2016-05-13,7285
2016-05-14,8101
2016-05-15,5339
2016-05-16,3782
2016-05-17,4498
2016-05-18,5389
2016-05-19,5527
2016-05-20,7236
2016-05-21,8614
2016-05-22,5266
2016-05-23,4219
2016-05-24,4747
2016-05-25,5510
2016-05-26,5894
2016-05-27,7126
2016-05-28,8389
2016-05-29,5834
2016-05-30,4188
2016-05-31,5274
2016-06-01,5274
2016-06-02,5405
2016-06-03,6992
2016-06-04,7739
2016-06-05,5244
2016-06-06,4107
2016-06-07,4786
2016-06-08,5523
2016-06-09,5340
2016-06-10,7485
2016-06-11,8291
2016-06-12,5385
2016-06-13,3853
2016-06-14,5065
2016-06-15,5385
2016-06-16,5265
2016-06-17,7825
2016-06-18,8392
2016-06-19,5524
2016-06-20,4058
2016-06-21,5039
2016-06-22,5160
2016-06-23,5429
2016-06-24,7667
2016-06-25,8555
2016-06-26,5896
2016-06-27,4346
2016-06-28,5146
2016-06-29,5748
2016-06-30,5898
2016-07-01,18586
2016-07-02,19512
2016-07-03,13247
2016-07-04,10443
2016-07-05,12284
2016-07-06,13787
2016-07-07,13821
2016-07-08,17889
2016-07-09,18983
2016-07-10,14612
2016-07-11,10234
2016-07-12,12682
2016-07-13,12619
2016-07-14,13620
2016-07-15,17421
2016-07-16,19139
2016-07-17,16328
2016-07-18,11448
2016-07-19,11339
2016-07-20,12901
2016-07-21,13584
2016-07-22,17523
2016-07-23,18887
2016-07-24,13155
2016-07-25,10667
2016-07-26,12675
2016-07-27,13436
2016-07-28,14262
2016-07-29,18248
2016-07-30,19121
2016-07-31,13249
2016-08-01,10156
2016-08-02,11307
2016-08-03,12975
2016-08-04,13324
2016-08-05,16979
2016-08-06,16548
2016-08-07,12685
2016-08-08,10337
2016-08-09,13093
2016-08-10,16437
2016-08-11,15686
2016-08-12,14250
2016-08-13,14723
2016-08-14,11400
2016-08-15,9720
2016-08-16,9928
2016-08-17,11441
2016-08-18,12230
2016-08-19,16607
2016-08-20,16433
2016-08-21,12190
2016-08-22,7709
2016-08-23,11979
2016-08-24,12870
2016-08-25,13240
2016-08-26,17642
2016-08-27,18010
2016-08-28,13756
2016-08-29,9500
2016-08-30,11879
2016-08-31,13266
2016-09-01,12147
2016-09-02,16051
2016-09-03,18193
2016-09-04,12203
2016-09-05,9759
2016-09-06,11992
2016-09-07,12264
2016-09-08,12605
2016-09-09,17149
2016-09-10,18859
2016-09-11,13694
2016-09-12,9965
2016-09-13,11361
2016-09-14,12922
2016-09-15,13698
2016-09-16,16959
2016-09-17,18668
2016-09-18,15168
2016-09-19,10191
2016-09-20,8302
2016-09-21,15333
2016-09-22,13374
2016-09-23,14726
2016-09-24,17990
2016-09-25,13335
2016-09-26,10688
2016-09-27,12669
2016-09-28,13043
2016-09-29,13484
2016-09-30,17881
2016-10-01,18311
2016-10-02,13227
2016-10-03,9363
2016-10-04,11790
2016-10-05,11302
2016-10-06,12923
2016-10-07,16844
2016-10-08,17777
2016-10-09,15836
2016-10-10,12329
2016-10-11,10380
2016-10-12,12504
2016-10-13,12695
2016-10-14,17186
2016-10-15,19474
2016-10-16,13300
2016-10-17,9671
2016-10-18,12106
2016-10-19,12763
2016-10-20,13430
2016-10-21,17570
2016-10-22,19553
2016-10-23,13992
2016-10-24,10241
2016-10-25,12207
2016-10-26,13766
2016-10-27,13826
2016-10-28,16830
2016-10-29,19985
2016-10-30,14189
2016-10-31,10813
2016-11-01,11484
2016-11-02,15132
2016-11-03,14225
2016-11-04,14294
2016-11-05,18453
2016-11-06,12900
2016-11-07,9958
2016-11-08,10532
2016-11-09,11418
2016-11-10,12408
2016-11-11,15417
2016-11-12,20116
2016-11-13,13423
2016-11-14,9569
2016-11-15,11203
2016-11-16,12923
2016-11-17,13245
2016-11-18,17283
2016-11-19,19456
2016-11-20,14192
2016-11-21,10063
2016-11-22,16123
2016-11-23,13786
2016-11-24,10492
2016-11-25,16871
2016-11-26,20488
2016-11-27,12784
2016-11-28,10102
2016-11-29,12060
2016-11-30,12883
2016-12-01,12653
2016-12-02,17630
2016-12-03,21895
2016-12-04,13731
2016-12-05,10214
2016-12-06,11774
2016-12-07,13345
2016-12-08,14094
2016-12-09,19771
2016-12-10,22794
2016-12-11,15233
2016-12-12,11132
2016-12-13,12773
2016-12-14,14590
2016-12-15,15142
2016-12-16,20680
2016-12-17,23982
2016-12-18,15836
2016-12-19,12551
2016-12-20,14669
2016-12-21,16823
2016-12-22,20526
2016-12-23,19306
2016-12-24,19958
2016-12-25,14552
2016-12-26,13656
2016-12-27,16182
2016-12-28,20069
2016-12-29,18941
2016-12-30,16499
2016-12-31,6616
2017-01-01,3396
2017-01-02,5631
2017-01-03,6574
2017-01-04,7922
2017-01-05,9666
2017-01-06,13887
2017-01-07,17101
2017-01-08,13260
2017-01-09,10566
2017-01-10,10327
2017-01-11,11313
2017-01-12,11362
2017-01-13,16374
2017-01-14,18618
2017-01-15,11840
2017-01-16,9807
2017-01-17,11412
2017-01-18,12676
2017-01-19,12727
2017-01-20,16400
2017-01-21,19985
2017-01-22,12854
2017-01-23,9615
2017-01-24,11536
2017-01-25,12977
2017-01-26,13364
2017-01-27,18230
2017-01-28,20939
2017-01-29,14157
2017-01-30,10231
2017-01-31,12101
2017-02-01,12172
2017-02-02,12416
2017-02-03,16202
2017-02-04,20313
2017-02-05,12446
2017-02-06,9689
2017-02-07,11374
2017-02-08,12658
2017-02-09,11780
2017-02-10,17207
2017-02-11,19635
2017-02-12,13527
2017-02-13,10347
2017-02-14,12330
2017-02-15,13832
2017-02-16,13834
2017-02-17,17992
2017-02-18,20598
2017-02-19,14674
2017-02-20,9757
2017-02-21,12240
2017-02-22,13881
2017-02-23,13713
2017-02-24,18233
2017-02-25,21623
2017-02-26,14928
2017-02-27,11071
2017-02-28,12990
2017-03-01,12808
2017-03-02,12578
2017-03-03,17534
2017-03-04,20613
2017-03-05,14692
2017-03-06,10515
2017-03-07,12399
2017-03-08,14636
2017-03-09,14118
2017-03-10,19116
2017-03-11,22040
2017-03-12,15574
2017-03-13,11733
2017-03-14,13683
2017-03-15,14073
2017-03-16,15032
2017-03-17,19512
2017-03-18,21321
2017-03-19,19271
2017-03-20,13296
2017-03-21,11987
2017-03-22,15101
2017-03-23,15879
2017-03-24,20720
2017-03-25,22836
2017-03-26,14459
2017-03-27,12230
2017-03-28,15308
2017-03-29,16629
2017-03-30,16672
2017-03-31,19122
2017-04-01,19900
2017-04-02,14794
2017-04-03,11772
2017-04-04,13094
2017-04-05,14130
2017-04-06,13571
2017-04-07,17906
2017-04-08,20203
2017-04-09,13650
2017-04-10,10474
2017-04-11,10957
2017-04-12,13687
2017-04-13,14379
2017-04-14,19574
2017-04-15,21741
2017-04-16,15710
2017-04-17,9739
2017-04-18,13489
2017-04-19,14607
2017-04-20,13990
2017-04-21,19624
2017-04-22,21245
