calendar_date,day_of_week,holiday_flg
2016-01-01,Friday,1
2016-01-02,Saturday,1
2016-01-03,Sunday,1
2016-01-04,Monday,0
2016-01-05,Tuesday,0
2016-01-06,Wednesday,0
2016-01-07,Thursday,0
2016-01-08,Friday,0
2016-01-09,Saturday,0
2016-01-10,Sunday,0
2016-01-11,Monday,1
2016-01-12,Tuesday,0
2016-01-13,Wednesday,0
2016-01-14,Thursday,0
2016-01-15,Friday,0
2016-01-16,Saturday,0
2016-01-17,Sunday,0
2016-01-18,Monday,0
2016-01-19,Tuesday,0
2016-01-20,Wednesday,0
2016-01-21,Thursday,0
2016-01-22,Friday,0
2016-01-23,Saturday,0
2016-01-24,Sunday,0
2016-01-25,Monday,0
2016-01-26,Tuesday,0
2016-01-27,Wednesday,0
2016-01-28,Thursday,0
2016-01-29,Friday,0
2016-01-30,Saturday,0
2016-01-31,Sunday,0
2016-02-01,Monday,0
2016-02-02,Tuesday,0
2016-02-03,Wednesday,0
2016-02-04,Thursday,0
2016-02-05,Friday,0
2016-02-06,Saturday,0
2016-02-07,Sunday,0
2016-02-08,Monday,0
2016-02-09,Tuesday,0
2016-02-10,Wednesday,0
2016-02-11,Thursday,1
2016-02-12,Friday,0
2016-02-13,Saturday,0
2016-02-14,Sunday,0
2016-02-15,Monday,0
2016-02-16,Tuesday,0
2016-02-17,Wednesday,0
2016-02-18,Thursday,0
2016-02-19,Friday,0
2016-02-20,Saturday,0
2016-02-21,Sunday,0
2016-02-22,Monday,0
2016-02-23,Tuesday,0
2016-02-24,Wednesday,0
2016-02-25,Thursday,0
2016-02-26,Friday,0
2016-02-27,Saturday,0
2016-02-28,Sunday,0
2016-02-29,Monday,0
2016-03-01,Tuesday,0
2016-03-02,Wednesday,0
2016-03-03,Thursday,0
2016-03-04,Friday,0
2016-03-05,Saturday,0
2016-03-06,Sunday,0
2016-03-07,Monday,0
2016-03-08,Tuesday,0
2016-03-09,Wednesday,0
2016-03-10,Thursday,0
2016-03-11,Friday,0
2016-03-12,Saturday,0
2016-03-13,Sunday,0
2016-03-14,Monday,0
2016-03-15,Tuesday,0
2016-03-16,Wednesday,0
2016-03-17,Thursday,0
2016-03-18,Friday,0
2016-03-19,Saturday,0
2016-03-20,Sunday,1
2016-03-21,Monday,1
2016-03-22,Tuesday,0
2016-03-23,Wednesday,0
2016-03-24,Thursday,0
2016-03-25,Friday,0
2016-03-26,Saturday,0
2016-03-27,Sunday,0
2016-03-28,Monday,0
2016-03-29,Tuesday,0
2016-03-30,Wednesday,0
2016-03-31,Thursday,0
2016-04-01,Friday,0
2016-04-02,Saturday,0
2016-04-03,Sunday,0
2016-04-04,Monday,0
2016-04-05,Tuesday,0
2016-04-06,Wednesday,0
2016-04-07,Thursday,0
2016-04-08,Friday,0
2016-04-09,Saturday,0
2016-04-10,Sunday,0
2016-04-11,Monday,0
2016-04-12,Tuesday,0
2016-04-13,Wednesday,0
2016-04-14,Thursday,0
2016-04-15,Friday,0
2016-04-16,Saturday,0
2016-04-17,Sunday,0
2016-04-18,Monday,0
2016-04-19,Tuesday,0
2016-04-20,Wednesday,0
2016-04-21,Thursday,0
2016-04-22,Friday,0
2016-04-23,Saturday,0
2016-04-24,Sunday,0
2016-04-25,Monday,0
2016-04-26,Tuesday,0
2016-04-27,Wednesday,0
2016-04-28,Thursday,0
2016-04-29,Friday,1
2016-04-30,Saturday,0
2016-05-01,Sunday,0
2016-05-02,Monday,0
2016-05-03,Tuesday,1
2016-05-04,Wednesday,1
2016-05-05,Thursday,1
2016-05-06,Friday,0
2016-05-07,Saturday,0
2016-05-08,Sunday,0
2016-05-09,Monday,0
2016-05-10,Tuesday,0
2016-05-11,Wednesday,0
2016-05-12,Thursday,0
2016-05-13,Friday,0
2016-05-14,Saturday,0
2016-05-15,Sunday,0
2016-05-16,Monday,0
2016-05-17,Tuesday,0
2016-05-18,Wednesday,0
2016-05-19,Thursday,0
2016-05-20,Friday,0
2016-05-21,Saturday,0
2016-05-22,Sunday,0
2016-05-23,Monday,0
2016-05-24,Tuesday,0
2016-05-25,Wednesday,0
2016-05-26,Thursday,0
2016-05-27,Friday,0
2016-05-28,Saturday,0
2016-05-29,Sunday,0
2016-05-30,Monday,0
2016-05-31,Tuesday,0
2016-06-01,Wednesday,0
2016-06-02,Thursday,0
2016-06-03,Friday,0
2016-06-04,Saturday,0
2016-06-05,Sunday,0
2016-06-06,Monday,0
2016-06-07,Tuesday,0
2016-06-08,Wednesday,0
2016-06-09,Thursday,0
2016-06-10,Friday,0
2016-06-11,Saturday,0
2016-06-12,Sunday,0
2016-06-13,Monday,0
2016-06-14,Tuesday,0
2016-06-15,Wednesday,0
2016-06-16,Thursday,0
2016-06-17,Friday,0
2016-06-18,Saturday,0
2016-06-19,Sunday,0
2016-06-20,Monday,0
2016-06-21,Tuesday,0
2016-06-22,Wednesday,0
2016-06-23,Thursday,0
2016-06-24,Friday,0
2016-06-25,Saturday,0
2016-06-26,Sunday,0
2016-06-27,Monday,0
2016-06-28,Tuesday,0
2016-06-29,Wednesday,0
2016-06-30,Thursday,0
2016-07-01,Friday,0
2016-07-02,Saturday,0
2016-07-03,Sunday,0
2016-07-04,Monday,0
2016-07-05,Tuesday,0
2016-07-06,Wednesday,0
2016-07-07,Thursday,0
2016-07-08,Friday,0
2016-07-09,Saturday,0
2016-07-10,Sunday,0
2016-07-11,Monday,0
2016-07-12,Tuesday,0
2016-07-13,Wednesday,0
2016-07-14,Thursday,0
2016-07-15,Friday,0
2016-07-16,Saturday,0
2016-07-17,Sunday,0
2016-07-18,Monday,1
2016-07-19,Tuesday,0
2016-07-20,Wednesday,0
2016-07-21,Thursday,0
2016-07-22,Friday,0
2016-07-23,Saturday,0
2016-07-24,Sunday,0
2016-07-25,Monday,0
2016-07-26,Tuesday,0
2016-07-27,Wednesday,0
2016-07-28,Thursday,0
2016-07-29,Friday,0
2016-07-30,Saturday,0
2016-07-31,Sunday,0
2016-08-01,Monday,0
2016-08-02,Tuesday,0
2016-08-03,Wednesday,0
2016-08-04,Thursday,0
2016-08-05,Friday,0
2016-08-06,Saturday,0
2016-08-07,Sunday,0
2016-08-08,Monday,0
2016-08-09,Tuesday,0
2016-08-10,Wednesday,0
2016-08-11,Thursday,1
2016-08-12,Friday,0
2016-08-13,Saturday,1
2016-08-14,Sunday,1
2016-08-15,Monday,1
2016-08-16,Tuesday,0
2016-08-17,Wednesday,0
2016-08-18,Thursday,0
2016-08-19,Friday,0
2016-08-20,Saturday,0
2016-08-21,Sunday,0
2016-08-22,Monday,0
2016-08-23,Tuesday,0
2016-08-24,Wednesday,0
2016-08-25,Thursday,0
2016-08-26,Friday,0
2016-08-27,Saturday,0
2016-08-28,Sunday,0
2016-08-29,Monday,0
2016-08-30,Tuesday,0
2016-08-31,Wednesday,0
2016-09-01,Thursday,0
2016-09-02,Friday,0
2016-09-03,Saturday,0
2016-09-04,Sunday,0
2016-09-05,Monday,0
2016-09-06,Tuesday,0
2016-09-07,Wednesday,0
2016-09-08,Thursday,0
2016-09-09,Friday,0
2016-09-10,Saturday,0
2016-09-11,Sunday,0
2016-09-12,Monday,0
2016-09-13,Tuesday,0
2016-09-14,Wednesday,0
2016-09-15,Thursday,0
2016-09-16,Friday,0
2016-09-17,Saturday,0
2016-09-18,Sunday,0
2016-09-19,Monday,1
2016-09-20,Tuesday,0
2016-09-21,Wednesday,0
2016-09-22,Thursday,1
2016-09-23,Friday,0
2016-09-24,Saturday,0
2016-09-25,Sunday,0
2016-09-26,Monday,0
2016-09-27,Tuesday,0
2016-09-28,Wednesday,0
2016-09-29,Thursday,0
2016-09-30,Friday,0
2016-10-01,Saturday,0
2016-10-02,Sunday,0
2016-10-03,Monday,0
2016-10-04,Tuesday,0
2016-10-05,Wednesday,0
2016-10-06,Thursday,0
2016-10-07,Friday,0
2016-10-08,Saturday,0
2016-10-09,Sunday,0
2016-10-10,Monday,1
2016-10-11,Tuesday,0
2016-10-12,Wednesday,0
2016-10-13,Thursday,0
2016-10-14,Friday,0
2016-10-15,Saturday,0
2016-10-16,Sunday,0
2016-10-17,Monday,0
2016-10-18,Tuesday,0
2016-10-19,Wednesday,0
2016-10-20,Thursday,0
2016-10-21,Friday,0
2016-10-22,Saturday,0
2016-10-23,Sunday,0
2016-10-24,Monday,0
2016-10-25,Tuesday,0
2016-10-26,Wednesday,0
2016-10-27,Thursday,0
2016-10-28,Friday,0
2016-10-29,Saturday,0
2016-10-30,Sunday,0
2016-10-31,Monday,0
2016-11-01,Tuesday,0
2016-11-02,Wednesday,0
2016-11-03,Thursday,1
2016-11-04,Friday,0
2016-11-05,Saturday,0
2016-11-06,Sunday,0
2016-11-07,Monday,0
2016-11-08,Tuesday,0
2016-11-09,Wednesday,0
2016-11-10,Thursday,0
2016-11-11,Friday,0
2016-11-12,Saturday,0
2016-11-13,Sunday,0
2016-11-14,Monday,0
2016-11-15,Tuesday,0
2016-11-16,Wednesday,0
2016-11-17,Thursday,0
2016-11-18,Friday,0
2016-11-19,Saturday,0
2016-11-20,Sunday,0
2016-11-21,Monday,0
2016-11-22,Tuesday,0
2016-11-23,Wednesday,1
2016-11-24,Thursday,0
2016-11-25,Friday,0
2016-11-26,Saturday,0
2016-11-27,Sunday,0
2016-11-28,Monday,0
2016-11-29,Tuesday,0
2016-11-30,Wednesday,0
2016-12-01,Thursday,0
2016-12-02,Friday,0
2016-12-03,Saturday,0
2016-12-04,Sunday,0
2016-12-05,Monday,0
2016-12-06,Tuesday,0
2016-12-07,Wednesday,0
2016-12-08,Thursday,0
2016-12-09,Friday,0
2016-12-10,Saturday,0
2016-12-11,Sunday,0
2016-12-12,Monday,0
2016-12-13,Tuesday,0
2016-12-14,Wednesday,0
2016-12-15,Thursday,0
2016-12-16,Friday,0
2016-12-17,Saturday,0
2016-12-18,Sunday,0
2016-12-19,Monday,0
2016-12-20,Tuesday,0
2016-12-21,Wednesday,0
2016-12-22,Thursday,0
2016-12-23,Friday,1
2016-12-24,Saturday,0
2016-12-25,Sunday,0
2016-12-26,Monday,0
2016-12-27,Tuesday,0
2016-12-28,Wednesday,0
2016-12-29,Thursday,1
2016-12-30,Friday,1
2016-12-31,Saturday,1
2017-01-01,Sunday,1
2017-01-02,Monday,1
2017-01-03,Tuesday,1
2017-01-04,Wednesday,0
2017-01-05,Thursday,0
2017-01-06,Friday,0
2017-01-07,Saturday,0
2017-01-08,Sunday,0
2017-01-09,Monday,1
2017-01-10,Tuesday,0
2017-01-11,Wednesday,0
2017-01-12,Thursday,0
2017-01-13,Friday,0
2017-01-14,Saturday,0
2017-01-15,Sunday,0
2017-01-16,Monday,0
2017-01-17,Tuesday,0
2017-01-18,Wednesday,0
2017-01-19,Thursday,0
2017-01-20,Friday,0
2017-01-21,Saturday,0
2017-01-22,Sunday,0
2017-01-23,Monday,0
2017-01-24,Tuesday,0
2017-01-25,Wednesday,0
2017-01-26,Thursday,0
2017-01-27,Friday,0
2017-01-28,Saturday,0
2017-01-29,Sunday,0
2017-01-30,Monday,0
2017-01-31,Tuesday,0
2017-02-01,Wednesday,0
2017-02-02,Thursday,0
2017-02-03,Friday,0
2017-02-04,Saturday,0
2017-02-05,Sunday,0
2017-02-06,Monday,0
2017-02-07,Tuesday,0
2017-02-08,Wednesday,0
2017-02-09,Thursday,0
2017-02-10,Friday,0
2017-02-11,Saturday,1
2017-02-12,Sunday,0
2017-02-13,Monday,0
2017-02-14,Tuesday,0
2017-02-15,Wednesday,0
2017-02-16,Thursday,0
2017-02-17,Friday,0
2017-02-18,Saturday,0
2017-02-19,Sunday,0
2017-02-20,Monday,0
2017-02-21,Tuesday,0
2017-02-22,Wednesday,0
2017-02-23,Thursday,0
2017-02-24,Friday,0
2017-02-25,Saturday,0
2017-02-26,Sunday,0
2017-02-27,Monday,0
2017-02-28,Tuesday,0
2017-03-01,Wednesday,0
2017-03-02,Thursday,0
2017-03-03,Friday,0
2017-03-04,Saturday,0
2017-03-05,Sunday,0
2017-03-06,Monday,0
2017-03-07,Tuesday,0
2017-03-08,Wednesday,0
2017-03-09,Thursday,0
2017-03-10,Friday,0
2017-03-11,Saturday,0
2017-03-12,Sunday,0
2017-03-13,Monday,0
2017-03-14,Tuesday,0
2017-03-15,Wednesday,0
2017-03-16,Thursday,0
2017-03-17,Friday,0
2017-03-18,Saturday,0
2017-03-19,Sunday,0
2017-03-20,Monday,1
2017-03-21,Tuesday,0
2017-03-22,Wednesday,0
2017-03-23,Thursday,0
2017-03-24,Friday,0
2017-03-25,Saturday,0
2017-03-26,Sunday,0
2017-03-27,Monday,0
2017-03-28,Tuesday,0
2017-03-29,Wednesday,0
2017-03-30,Thursday,0
2017-03-31,Friday,0
2017-04-01,Saturday,0
2017-04-02,Sunday,0
2017-04-03,Monday,0
2017-04-04,Tuesday,0
2017-04-05,Wednesday,0
2017-04-06,Thursday,0
2017-04-07,Friday,0
2017-04-08,Saturday,0
2017-04-09,Sunday,0
2017-04-10,Monday,0
2017-04-11,Tuesday,0
2017-04-12,Wednesday,0
2017-04-13,Thursday,0
2017-04-14,Friday,0
2017-04-15,Saturday,0
2017-04-16,Sunday,0
2017-04-17,Monday,0
2017-04-18,Tuesday,0
2017-04-19,Wednesday,0
2017-04-20,Thursday,0
2017-04-21,Friday,0
2017-04-22,Saturday,0
2017-04-23,Sunday,0
2017-04-24,Monday,0
2017-04-25,Tuesday,0
2017-04-26,Wednesday,0
2017-04-27,Thursday,0
2017-04-28,Friday,0
2017-04-29,Saturday,1
2017-04-30,Sunday,0
2017-05-01,Monday,0
2017-05-02,Tuesday,0
2017-05-03,Wednesday,1
2017-05-04,Thursday,1
2017-05-05,Friday,1
2017-05-06,Saturday,0
2017-05-07,Sunday,0
2017-05-08,Monday,0
2017-05-09,Tuesday,0
2017-05-10,Wednesday,0
2017-05-11,Thursday,0
2017-05-12,Friday,0
2017-05-13,Saturday,0
2017-05-14,Sunday,0
2017-05-15,Monday,0
2017-05-16,Tuesday,0
2017-05-17,Wednesday,0
2017-05-18,Thursday,0
2017-05-19,Friday,0
2017-05-20,Saturday,0
2017-05-21,Sunday,0
2017-05-22,Monday,0
2017-05-23,Tuesday,0
2017-05-24,Wednesday,0
2017-05-25,Thursday,0
2017-05-26,Friday,0
2017-05-27,Saturday,0
2017-05-28,Sunday,0
2017-05-29,Monday,0
2017-05-30,Tuesday,0
2017-05-31,Wednesday,0
