air_store_id,hpg_store_id
air_63b13c56b7201bd9,hpg_4bc649e72e2a239a
air_a24bf50c3e90d583,hpg_c34b496d0305a809
air_c7f78b4f3cba33ff,hpg_cd8ae0d9bbd58ff9
air_947eb2cae4f3e8f2,hpg_de24ea49dc25d6b8
air_965b2e0cf4119003,hpg_653238a84804d8e7
air_a38f25e3399d1b25,hpg_50378da9ffb9b6cd
air_3c938075889fc059,hpg_349b1b92f98b175e
air_68301bcb11e2f389,hpg_2c09f3abb2220659
air_5f6fa1b897fe80d5,hpg_40aff6385800ebb1
air_00a91d42b08b08d9,hpg_fbe603376b5980fc
air_ef789667e2e6fe96,hpg_f76ad2d2d0134bdd
air_e89735e80d614a7e,hpg_b0cbb707b862dde7
air_8f3b563416efc6ad,hpg_d12fb3b2b4129cd6
air_0a74a5408a0b8642,hpg_2ded824e690c414a
air_97958e7fce98b6a3,hpg_69bfc004fd50cd31
air_48f4da6223571da4,hpg_832ba309e6699258
air_ee3ba9af184c6c82,hpg_fc892fe8d342a787
air_b2d97bd2337c5ba7,hpg_67c2b78265118491
air_32b02ba5dc2027f4,hpg_168a90866d6e606d
air_646b93e336f0dded,hpg_b3de3ba6437e5a11
air_4cca5666eaf5c709,hpg_f83413cde79ac5e7
air_55c3627912b9c849,hpg_9d140ea335b9efd4
air_25c583983246b7b0,hpg_66733016f2ac9ee8
air_08ef81d5b7a0d13f,hpg_ba2ce254969629b8
air_f2c5a1f24279c531,hpg_9668001cf2b8dc74
air_fcfbdcf7b1f82c6e,hpg_0b53e00789c2eafe
air_fcd4492c83f1c6b9,hpg_218a1ea95def8ea3
air_b45b8e456f53942a,hpg_a85b37424291216b
air_90f0efbb702d77b7,hpg_1f7bc96cada52483
air_2fc478dc9f0a6b31,hpg_2d0a73d3f1cb646d
air_b9e27558fb8bd5c4,hpg_43a5666d1b6fa70b
air_c225148c0fcc5c72,hpg_ee424bb170e133f1
air_2aab19554f91ff82,hpg_cac091abfcee2a85
air_6b2268863b14a2af,hpg_7664eec3cd802c91
air_9ca2767761efff4d,hpg_862f52f31619479d
air_04cae7c1bc9b2a0b,hpg_1803b7bed3a5927e
air_1033310359ceeac1,hpg_8072ff2fb418e273
air_db1233ad855b34d5,hpg_3ebbe4996edd55d5
air_7cc17a324ae5c7dc,hpg_9b38b9e13da6da27
air_52a08ef3efdb4bb0,hpg_ac422bf2686e23b5
air_bcce1ea4350b7b72,hpg_3347c0399df81142
air_de88770300008624,hpg_a786d63904735f58
air_e657ca554b0c008c,hpg_5c05683a8f326588
air_c3585b0fba3998d0,hpg_0db6a8b36006942a
air_0867f7bebad6a649,hpg_caf1082b9f445c7b
air_89e7328af22efe74,hpg_2cad4924680c2a1e
air_900d755ebd2f7bbd,hpg_2864fa16b03e3813
air_7420042ff75f9aca,hpg_7459535472b27200
air_e00fe7853c0100d6,hpg_d59fec517d99991f
air_84f6876ff7e83ae7,hpg_0f78ef8d1e4b23d8
air_db4b38ebe7a7ceff,hpg_bcecaa70222d94e5
air_af63df35857b16e6,hpg_71765891f7a4ac62
air_290e7a57b390f78e,hpg_c5ec63f52e4a7e9e
air_c759b6abeb552160,hpg_e6d06810b701ab12
air_cc1a0e985ce63711,hpg_e29b78a4955b72f5
air_bebd55ed63ab2422,hpg_5014838c16a831ad
air_6b15edd1b4fbb96a,hpg_babe2c3d962d7bb6
air_638c35eb25e53eea,hpg_f07ec7b288165b27
air_37189c92b6c761ec,hpg_2e10e1956528199a
air_b4f32bcc399da2b9,hpg_95875f687b36070f
air_c1ff20617c54fee7,hpg_4be4a5cb851e45af
air_cf2229e64408d9fe,hpg_e41e0f2c318dd8e4
air_ba495cccc8f0f237,hpg_eaa312b3100ae94b
air_3e6cea17a9d2c0f1,hpg_47c5b2b16a840e89
air_8093d0b565e9dbdf,hpg_874415e6e7ccfe13
air_28064154614b2e6c,hpg_2ecfd31844d0ba36
air_fe22ef5a9cbef123,hpg_ee8cad9cd96718da
air_cb7467aed805e7fe,hpg_aa7dfdc68a0a879c
air_938ef91ecdde6878,hpg_623477d346cf1822
air_152c1f08d7d20e07,hpg_da3fb5d63e69a5fa
air_90213bcae4afa274,hpg_33df7b58b0f9d93f
air_54d6c25d33f5260e,hpg_62b71ee3f3c120c4
air_4c727b55acdee495,hpg_26d20b9f926ff5e9
air_8cc350fd70ee0757,hpg_503ea5f7ab4a8c2c
air_42d41eb58cad170e,hpg_70f700e5a6148b7e
air_f0fb0975bdc2cdf9,hpg_0cd7a0f13e73b043
air_97159fc4e90053fe,hpg_dc52241f21eb95f6
air_5a9a6cbeeb434c08,hpg_cad1acd4374ceaa1
air_4570f52104fe0982,hpg_806d24a6468f6709
air_15ae33469e9ea2dd,hpg_fa4eeada9ad7b59f
air_db80363d35f10926,hpg_878cc70b1abc76f7
air_627cabe2fe53f33f,hpg_77706f491ca5a090
air_683371d9baabf410,hpg_7dae95f9d3db1734
air_800c02226e2e0288,hpg_786d526a899b4933
air_96005f79124e12bf,hpg_51fab1683266cd55
air_ade6e836ffd1da64,hpg_cd98b0cad88f7123
air_e270aff84ac7e4c8,hpg_8d472b917afb2cd9
air_6e3fd96320d24324,hpg_3f89e343b3e1d336
air_f180301886c21375,hpg_381bc6f038ec3ea8
air_5d7c744c3a2ef624,hpg_0ec6bec1ee303329
air_754ae581ad80cc9f,hpg_625efd16f722d4f4
air_8e492076a1179383,hpg_aee92538e1b51d5f
air_7ef9a5ea5c8fe39f,hpg_8afe014b4a994a79
air_cfcc94797d2b5d3d,hpg_dad8da3ff443ba1a
air_c73d319ffabf287a,hpg_e8f879fcbf993278
air_640cf4835f0d9ba3,hpg_e63863c8987bd064
air_324f7c39a8410e7c,hpg_03946d6b6b1e0332
air_2cee51fa6fdf6c0d,hpg_113fd6e4fa77800f
air_258ad2619d7bff9a,hpg_e87d00be48cd91c6
air_42c9aa6d617c5057,hpg_053676b196ae1e1e
air_2b8b29ddfd35018e,hpg_2d4200d0ebdb4946
air_bedd35489e666605,hpg_8f5331198ed1781d
air_eec5e572b9eb9c23,hpg_e6594f29f40fe2aa
air_0b1e72d2d4422b20,hpg_9fe427339d77b421
air_b2a639cc7e02edf1,hpg_359983294ef1467d
air_1c0b150f9e696a5f,hpg_68e6c301c14211ee
air_4433ab8e9999915f,hpg_a214a6b219c6649c
air_3980af67be35afdb,hpg_7819244b4f2e0def
air_066f0221b8a4d533,hpg_2777ed87df2eef7a
air_fc477473134e9ae5,hpg_3c41f028563beac3
air_375a5241615b5e22,hpg_a284bcfadc49db95
air_fea5dc9594450608,hpg_6507818140022452
air_5e70fe82f9e4fab6,hpg_0a8cb1f2f6e27889
air_c47aa7493b15f297,hpg_03795a62e1c5f1c3
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6
air_990a642a3deb2903,hpg_719d08c3b7225154
air_5c7489c9ec755e2d,hpg_0a587f3924c8093c
air_bb09595bab7d5cfb,hpg_aea428a1075052bf
air_a546cbf478a8b6e4,hpg_7f25667859876495
air_54ed43163b7596c4,hpg_583dddac1a035048
air_9241121af22ff1d6,hpg_49dbe1fd79450e55
air_5acc13d655a6e8b2,hpg_1f9643b5673938d9
air_831658500aa7c846,hpg_f39996d4f0ebcb64
air_622375b4815cf5cb,hpg_ab64d4038f396dc3
air_968d72c12eed09f0,hpg_4dabe28f13a5b993
air_fdc02ec4a3d21ea4,hpg_528734c946fae58b
air_789466e488705c93,hpg_4ca41b70c41bc844
air_2a485b92210c98b5,hpg_dd709beb78198f38
air_6b942d5ebbc759c2,hpg_3253426a007cf3eb
air_1d1e8860ae04f8e9,hpg_2fcae64da5287bf5
air_707d4b6328f2c2df,hpg_7acec6bb6ec9d98e
air_32c61b620a766138,hpg_d5ca709664abea20
air_082908692355165e,hpg_b8715d0ac52b1763
air_7514d90009613cd6,hpg_08def9f764fcca4c
air_cbe867adcf44e14f,hpg_0183ec352e38903c
air_1f1390a8be2272b3,hpg_306ff4d17f7a1efd
air_f690c42545146e0a,hpg_0dc016db530f5c33
air_96743eee94114261,hpg_a9d42bc9b56916f4
air_6c91a28278a16f64,hpg_945c2807cef88022
air_d00161e19f08290b,hpg_05fada27f04e4383
air_f96765e800907c77,hpg_265bd3fe806f8b6e
air_08cb3c4ee6cd6a22,hpg_dc639640420bde5f
air_32460819c7600037,hpg_ac318be70910278f
air_c6a164dd4060e960,hpg_8ce73856596a7794
air_09661c0f3259cc04,hpg_ef517ab154f66a8e
air_b8925441167c3152,hpg_0cc0abae3a8b52de
air_f8233ad00755c35c,hpg_098e4dd30e54fee6
air_6607fe3671242ce3,hpg_1004356dc8ab69ec
air_ccd19a5bc5573ae5,hpg_df22bf146d2c7e19
air_465bddfed3353b23,hpg_23c5945dc1a72454
