學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
106/ 2,GH0093,27251,通識中心,2,張愛玲小說選讀The Selected Readings of Eileen Chang's Fictions    ,林美清,2 ,Wed 10:10-12:00,55/ 65
106/ 2,GD0058,29883,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Wed 09:10-12:00,25/ 70
106/ 2,GD0076,30121,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Fri 13:10-16:00,69/ 70
106/ 2,GD0077,30129,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Tue 15:10-18:00,70/ 70
106/ 2,GD0078,30130,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Tue 13:10-16:00,68/ 70
106/ 2,GD0079,30131,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Wed 09:10-12:00,69/ 70
106/ 2,GD0080,30132,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Wed 09:10-12:00,68/ 70
106/ 2,GD0081,30133,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Mon 15:10-18:00,13/ 70
106/ 2,GD0082,30134,通識中心,1,倫理與美學：電影與戲劇中的莎士比亞Ethics and Aesthetics in Filmic and Staged Shakespeare    ,鄭惠芳,3 ,Wed 09:10-12:00,53/ 70
106/ 2,GD0084,30135,通識中心,1,歐美戲劇Western Drama and Theatre    ,黃尹瑩,3 ,Mon 13:10-16:00,68/ 70
106/ 2,GD0085,30136,通識中心,1,"北美小說、技藝與性別角色North American Novels, Domestic Arts, and Gender    ",葉玉慧,3 ,Wed 09:10-12:00,70/ 70
106/ 2,GD0088,30137,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Tue 13:10-16:00,70/ 70
106/ 2,GD0089,30138,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Tue 15:10-18:00,69/ 70
106/ 2,GS0113,30139,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Tue 13:10-16:00,0/ 70
106/ 2,GH0071,30140,通識中心,1,室內樂作品欣賞與實習The Appreciation and Ensemble Practice of Chamber Music    ,周悅如,2 ,Fri 18:10-20:00,6/ 0
106/ 2,GS0112,30141,通識中心,1,文化與歷史思維Historical Perspective on Cultures    ,曾華璧,3 ,Tue 15:10-18:00,68/ 70
106/ 2,GS0113,30142,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Wed 09:10-12:00,41/ 70
106/ 2,GS0114,30143,通識中心,1,中國近世歷史與士人文化Early Modern Chinese History and the Culture of Literati    ,黃寬重,3 ,Tue 15:10-18:00,60/ 70
106/ 2,GS0208,30144,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Mon 15:10-18:00,69/ 70
106/ 2,GS0209,30145,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Tue 13:10-16:00,69/ 70
106/ 2,GS0304,30146,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Tue 15:10-18:00,70/ 70
106/ 2,GS0305,30147,通識中心,1,全球與兩岸政治經濟Global and Cross-strait Political Economy    ,王俊元,3 ,Mon 13:10-16:00,67/ 70
106/ 2,GS0406,30148,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Tue 15:10-18:00,13/ 70
106/ 2,GS0407,30149,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Mon 15:10-18:00,70/ 70
106/ 2,GS0410,30150,通識中心,1,管理與現代社會Management and Contemporary Society    ,鄭道有,3 ,Tue 13:10-16:00,32/ 70
106/ 2,GS0504,30151,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Tue 15:10-18:00,70/ 70
106/ 2,GD0058,30152,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Fri 13:10-16:00,15/ 70
106/ 2,GD0076,30153,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Tue 15:10-18:00,70/ 70
106/ 2,GD0077,30154,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Mon 15:10-18:00,70/ 70
106/ 2,GD0078,30155,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Mon 13:10-16:00,70/ 70
106/ 2,GD0079,30156,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Mon 15:10-18:00,70/ 70
106/ 2,GD0080,30157,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Fri 13:10-16:00,68/ 70
106/ 2,GD0081,30158,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Tue 15:10-18:00,20/ 70
106/ 2,GD0088,30159,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Mon 13:10-16:00,70/ 70
106/ 2,GD0089,30160,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Mon 15:10-18:00,57/ 70
106/ 2,GS0208,30161,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Wed 09:10-12:00,70/ 70
106/ 2,GS0209,30162,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Mon 13:10-16:00,70/ 70
106/ 2,GS0304,30163,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Fri 13:10-16:00,72/ 70
106/ 2,GS0406,30164,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Mon 15:10-18:00,0/ 70
106/ 2,GS0407,30165,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Fri 13:10-16:00,70/ 70
106/ 2,GS0504,30166,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Mon 15:10-18:00,69/ 70
106/ 2,GD0091,30167,通識中心,1,全球化議題Issues on Globalization    ,張至涵,3 ,Wed 09:10-12:00,54/ 70
106/ 2,GD0083,30168,通識中心,1,西洋文學概論：古代作品選讀Introduction to Western Literature：Masterpieces of The Ancient World    ,張玉燕,3 ,Tue 13:10-16:00,0/ 70
106/ 2,GD0011,30169,通識中心,2,智慧財產權Right of Intellectual Property    ,吳秀玲,2 ,Wed 19:10-21:00,75/ 65
106/ 2,GD0011,30170,通識中心,2,智慧財產權Right of Intellectual Property    ,邱榮輝,2 ,Tue 14:10-16:00,53/ 65
106/ 2,GD0011,30171,通識中心,2,智慧財產權Right of Intellectual Property    ,邱榮輝,2 ,Tue 14:10-16:00,50/ 65
106/ 2,GD0006,30172,通識中心,2,中文寫作Chinese Composition    ,陳姿蓉,2 ,Thu 13:10-15:00,21/ 25
106/ 2,GD0008,30173,通識中心,2,中國近、現代史The History of Modern China    ,楊明哲,2 ,Thu 15:10-17:00,0/ 65
106/ 2,GD0010,30174,通識中心,2,人權與民主法治Human Rights and Democracy    ,陳英淙,2 ,Tue 16:10-18:00,10/ 65
106/ 2,GD0011,30175,通識中心,2,智慧財產權Right of Intellectual Property    ,黃孝惇,2 ,Thu 14:10-16:00,48/ 65
106/ 2,GD0015,30176,通識中心,2,賽局理論Game Theory    ,王光正,2 ,Tue 17:10-19:00,62/ 65
106/ 2,GD0017,30177,通識中心,2,網路社會學Internet Sociology    ,吳懷義,2 ,Fri 10:10-12:00,35/ 65
106/ 2,GD0024,30178,通識中心,2,歷史與人物History and Significant Figures    ,楊明哲,2 ,Thu 13:10-15:00,50/ 65
106/ 2,GD0030,30179,通識中心,2,現代詩Modern Poetry    ,陳姿蓉,2 ,Wed 13:10-15:00,62/ 65
106/ 2,GD0035,30180,通識中心,2,基礎素描Drawing Basic    ,陳昱銘,2 ,Fri 13:10-15:00,65/ 65
106/ 2,GT0101,30181,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Mon 15:10-17:00,68/ 65
106/ 2,GT0101,30182,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,黃鐘鋒,2 ,Tue 18:10-20:00,65/ 65
106/ 2,GD0043,30183,通識中心,2,新聞英語Journalistic English    ,楊吉林,2 ,Fri 13:10-15:00,25/ 30
106/ 2,GD0044,30184,通識中心,2,醫療與社會Medicine and Society    ,陳麗如,2 ,Fri 10:10-12:00,0/ 65
106/ 2,GT0101,30185,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Thu 13:10-15:00,65/ 65
106/ 2,GD0051,30186,通識中心,2,傳染病史概論Introduction to the history of communicable disease    ,張淑卿,2 ,Tue 10:10-12:00,64/ 65
106/ 2,GD0054,30187,通識中心,2,美國大眾文化與世界American Popular Culture and Its Diffusion in the World Today    ,麥哲恩,2 ,Thu 13:10-15:00,63/ 65
106/ 2,GD0055,30188,通識中心,2,英文簡報技巧Presenting in English    ,葉玉慧,2 ,Thu 10:10-12:00,16/ 30
106/ 2,GT0101,30189,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Thu 10:10-12:00,64/ 65
106/ 2,GT0101,30190,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Thu 15:10-17:00,65/ 65
106/ 2,GH0001,30191,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Fri 08:10-10:00,57/ 55
106/ 2,GH0017,30192,通識中心,2,人生哲學Philosophy of Life    ,潘玉愛,2 ,Mon 13:10-15:00,59/ 65
106/ 2,GH0030,30193,通識中心,2,兩性關係Gender Relationship    ,王怡文,2 ,Tue 13:10-15:00,65/ 65
106/ 2,GH0033,30194,通識中心,2,1960年代專題Reflection on the 1960th    ,王賀白,2 ,Wed 13:10-15:00,64/ 65
106/ 2,GH0046,30195,通識中心,2,德文(1)German (Ⅰ)    ,楊文敏,2 ,Tue 13:10-15:00,60/ 65
106/ 2,GH0050,30196,通識中心,2,日文(1)Japanese(Ⅰ)    ,朱順,2 ,Mon 13:10-15:00,37/ 65
106/ 2,GH0054,30197,通識中心,2,自然生態文學A literary Reading in Ecology    ,韓學宏,2 ,Thu 10:10-12:00,37/ 65
106/ 2,GH0057,30198,通識中心,2,管理經濟學Managerial Economics    ,王榮杰,2 ,Mon 15:10-17:00,0/ 65
106/ 2,GT0137,30199,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 15:10-17:00,40/ 40
106/ 2,GH0066,30200,通識中心,2,道家思想導論與導讀The Introduction of Taoist    ,邸彥,2 ,Wed 13:10-15:00,65/ 65
106/ 2,GH0067,30201,通識中心,2,初階法文French (Ⅰ)    ,程鳳屏,2 ,Thu 15:10-17:00,38/ 65
106/ 2,GT0137,30202,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 13:10-15:00,34/ 40
106/ 2,GH0069,30203,通識中心,2,電影與音樂Movies and Music    ,周悅如,2 ,Thu 10:10-12:00,54/ 65
106/ 2,GH0072,30204,通識中心,2,器樂大師經典作品賞析Appreciation of Orchestral Works by Great Composers    ,洪于淳,2 ,Mon 13:10-15:00,27/ 65
106/ 2,GT0137,30205,通識中心,2,資料處理與應用Introduction of Data Processing    ,施大偉,2 ,Thu 10:10-12:00,13/ 40
106/ 2,GH0074,30206,通識中心,2,進階法文French (Ⅱ)    ,程鳳屏,2 ,Thu 13:10-15:00,22/ 65
106/ 2,GH0077,30207,通識中心,2,影像中的社會與文化Encountering Society and Culture through Films    ,李舒中,2 ,Fri 10:10-12:00,58/ 65
106/ 2,GH0078,30208,通識中心,2,殿堂之外：現代音樂與流行樂文化The Modern Music and the Pop Music in the twentieth Century    ,周悅如,2 ,Tue 10:10-12:00,49/ 65
106/ 2,GH0083,30209,通識中心,2,團體動力在人際互動的應用Group Dynamics in the Application of Interpersonal Interaction    ,胡正申,2 ,Thu 13:10-15:00,63/ 65
106/ 2,GH0084,30210,通識中心,2,危機調適理論與實務Crisis Intervention Theory and Practice    ,胡正申,2 ,Wed 13:10-15:00,63/ 65
106/ 2,GH0086,30211,通識中心,2,環境史：自然與人的對話Environmental History： A Dialogue between Nature and Humankind    ,曾華璧,2 ,Tue 10:10-12:00,52/ 65
106/ 2,GT0137,30212,通識中心,2,資料處理與應用Introduction of Data Processing    ,施大偉,2 ,Tue 15:10-17:00,0/ 40
106/ 2,GT0137,30213,通識中心,2,資料處理與應用Introduction of Data Processing    ,施大偉,2 ,Tue 13:10-15:00,22/ 40
106/ 2,GH0090,30214,通識中心,2,科技倫理Technology Ethics    ,蘇詔勤,2 ,Mon 10:10-12:00,52/ 65
106/ 2,GH0091,30215,通識中心,2,明清俗曲與現代民歌Popular melody in Ming and Qing Dynasties and modern folk song    ,王友蘭,2 ,Thu 13:10-15:00,50/ 65
106/ 2,GT0138,30216,通識中心,2,資料庫的理論與應用Database : Theory and Application    ,張淑滿,2 ,Mon 15:10-17:00,16/ 40
106/ 2,GH0094,30217,通識中心,2,台灣古典文學選讀Selected Readings in Classical Literature in Taiwan    ,徐慧鈺,2 ,Thu 15:10-17:00,11/ 65
106/ 2,GH0097,30218,通識中心,2,文學與人生Literature and Life    ,劉德玲,2 ,Thu 10:10-12:00,44/ 65
106/ 2,GT0151,30219,通識中心,2,資訊安全概論Introduction to Information Security    ,黃朝錦,2 ,Fri 10:10-12:00,11/ 65
106/ 2,GH0099,30220,通識中心,2,法律與生活Law in Daily Life    ,于茂宗,2 ,Mon 13:10-15:00,0/ 0
106/ 2,GH0065,30221,通識中心,2,近代戲曲賞析An Introduction to contemporary Chinese Opera    ,王友蘭,2 ,Thu 15:10-17:00,0/ 65
106/ 2,GT0095,30222,通識中心,2,中國繪畫入門Chiness Painting    ,江正誠,2 ,Wed 10:10-12:00,59/ 65
106/ 2,GH0102,30223,通識中心,2,經典閱讀： <羅爾斯正義論〉Classical Reading： A Theory of Justice ( John Rawls)    ,王賀白,2 ,Wed 15:10-17:00,56/ 65
106/ 2,GT0087,30224,通識中心,2,音樂與情緒Emotion in Music    ,許淑婷,2 ,Mon 10:10-12:00,33/ 65
106/ 2,GH0105,30225,通識中心,2,西洋美術巡禮The Parades of Western Art    ,洪進丁,2 ,Tue 10:10-12:00,12/ 65
106/ 2,GT0142,30226,通識中心,2,健康照護產業Healthcare Industry    ,白裕彬,2 ,Tue 15:10-17:00,19/ 65
106/ 2,GH0107,30227,通識中心,2,全球化思維的領導與決策Leadership and Decision-making with Thinking Framework of Globalization    ,楊志誠,2 ,Tue 13:10-15:00,26/ 65
106/ 2,GT0018,30229,通識中心,2,人際溝通Interpersonal Communication    ,陳惠茹,2 ,Wed 10:10-12:00,52/ 65
106/ 2,GT0040,30231,通識中心,2,親職教育Education of Parenting    ,陳惠茹,2 ,Tue 13:10-15:00,64/ 65
106/ 2,GT0046,30232,通識中心,2,針灸學概論Introduction to Acupuncture and Moxibustion    ,薛宏昇,2 ,Tue 08:10-10:00,65/ 65
106/ 2,GT0053,30234,通識中心,2,中藥的養生保健與美容Health and Beauty Maintenance in Chinese Medicine    ,魏迺杰,2 ,Tue 15:10-17:00,35/ 35
106/ 2,GT0071,30235,通識中心,2,特殊教育導論Introduction of Special Education    ,陳麗如,2 ,Thu 10:10-12:00,65/ 65
106/ 2,GT0074,30236,通識中心,2,生命的科學Science of Life    ,孫明宗,2 ,Thu 10:10-12:00,22/ 65
106/ 2,GT0076,30237,通識中心,2,德文(2)German (Ⅱ)    ,楊文敏,2 ,Tue 15:10-17:00,11/ 65
106/ 2,GT0078,30238,通識中心,2,個人理財與投資Investments & Management    ,王榮杰,2 ,Mon 10:10-12:00,28/ 65
106/ 2,GT0081,30239,通識中心,2,日文(2)Japanese(Ⅱ)    ,朱順,2 ,Mon 15:10-17:00,0/ 65
106/ 2,GT0101,30240,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Mon 10:10-12:00,65/ 65
106/ 2,GT0105,30241,通識中心,2,旅遊英文Traveler's English    ,葛瑞格,2 ,Wed 08:10-10:00,50/ 65
106/ 2,GT0110,30242,通識中心,2,草藥的認識與應用Knowledge and Application of Herb Medicine    ,楊榮季,2 ,Thu 10:10-12:00,63/ 65
106/ 2,GT0115,30243,通識中心,2,環境與生命Environment & Life    ,萬國華,2 ,Tue 15:10-17:00,0/ 65
106/ 2,GT0116,30244,通識中心,2,生命科學導論Introduction of Life Sciences    ,周淑娥,2 ,Tue 13:10-15:00,12/ 65
106/ 2,GT0119,30245,通識中心,2,財務管理與分析Financial Management and Analysis    ,王榮杰,2 ,Mon 13:10-15:00,50/ 65
106/ 2,GT0120,30246,通識中心,2,藥物與生活Drug and Life    ,謝珮文,2 ,Mon 13:10-15:00,65/ 65
106/ 2,GT0125,30247,通識中心,2,生涯發展與規劃Career Development    ,陳麗如,2 ,Mon 10:10-12:00,63/ 65
106/ 2,GT0134,30250,通識中心,2,網頁設計美學Webpage Design Aesthetics    ,李榮宗,2 ,Tue 15:10-17:00,29/ 40
106/ 2,GT0135,30251,通識中心,2,部落格數位生活Learning Blog    ,吳宜真,2 ,Mon 13:10-15:00,39/ 40
106/ 2,GT0136,30252,通識中心,2,程式寫作邏輯導論Introduction to Programing Logic    ,吳宜真,2 ,Mon 16:10-18:00,35/ 40
106/ 2,GT0137,30253,通識中心,2,資料處理與應用Introduction of Data Processing    ,李榮宗,2 ,Fri 10:10-12:00,40/ 40
106/ 2,GT0138,30254,通識中心,2,資料庫的理論與應用Database : Theory and Application    ,張淑滿,2 ,Mon 10:10-12:00,7/ 40
106/ 2,GT0139,30255,通識中心,2,數位革新：智慧型人機介面Digital Innovation：Intelligent Interface of Human-Machine    ,黃朝錦,2 ,Tue 10:10-12:00,15/ 25
106/ 2,GH0001,30256,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Thu 08:10-10:00,56/ 55
106/ 2,GH0001,30257,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Wed 08:10-10:00,55/ 55
106/ 2,GT0146,30258,通識中心,2,聖經與科學Bible and Science    ,賴朝松,2 ,Mon 13:10-15:00,65/ 65
106/ 2,GT0068,30259,通識中心,2,生物科技產業之認識與分析Biotechnology Industry :Understanding and Analysis    ,林稟彬,2 ,Wed 13:10-15:00,31/ 65
106/ 2,GT0150,30262,通識中心,2,食品安全與健康Food Safety and Health    ,顏宗海,2 ,Tue 15:10-17:00,65/ 65
106/ 2,GT0153,30263,通識中心,2,生物技術及生物資訊之發展現況ICurrentDevelopments of Biotechnology and Bioinformatics    ,廖威超,2 ,Tue 13:10-15:00,63/ 65
106/ 2,GT0154,30264,通識中心,2,德文(3)German (Ⅲ)    ,楊文敏,2 ,Tue 10:10-12:00,5/ 65
106/ 2,GT0156,30266,通識中心,2,"大數據之旅-挑戰KaggleJourney Toward Big Data, Kaggle Challenge    ",黃朝錦,2 ,Thu 10:10-12:00,14/ 20
106/ 2,GS0407,32081,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,0 00:00-00:00,2/ 70
